"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper"
"33","SPG7","X19603",-1.30080316539002,0.229239855507092,-5.67441975791061,1.3915952664504e-08,2.15083317583088e-07,1.3915952664504e-08,2.36522041469167e-08,0.272312992808315,0.173755693625747,0.426773733308231
"34","SVIL","X20029",-0.71969475165693,0.132347031539972,-5.43793648624122,5.39011806943457e-08,1.36241537100407e-07,5.39011806943454e-08,5.2275062848218e-08,0.486900858958845,0.375652724686071,0.631094707626518
"35","MTMR11","X13544",-0.943873500109648,0.174689794813049,-5.40314047033926,6.54841371256499e-08,5.39415095616208e-08,6.54841371256499e-08,6.84865729958906e-08,0.389117665105964,0.276302442680417,0.547995724643836
"36","ZFR2","X22499",-0.436942504023343,0.082905008298018,-5.27039937626771,1.3612723694484e-07,1.75300192371268e-07,1.3612723694484e-07,7.00896730712337e-08,0.646008573236708,0.549122716886176,0.759988730864749
"37","DNM1P46","X5126",-3.12560433493103,0.61573645420443,-5.07620478467448,3.8504829438173e-07,1.49619427907662e-08,3.8504829438173e-07,2.92641304040682e-07,0.0439103890213794,0.0131356468713919,0.146785482503197
"38","CHODL","X3675",0.398246024618418,0.0786483646591959,5.06362753178815,4.11352976657722e-07,6.11344977772054e-06,4.11352976657721e-07,3.30876492562667e-07,1.48921036725378,1.27646949807017,1.73740737345391
"39","NUDT10","X14507",1.07254997194851,0.208724795994434,5.13858435859776,2.76815920401152e-07,2.24543094309964e-07,2.76815920401152e-07,5.52991367925381e-07,2.92282312240196,1.94149227076674,4.40016946422029
"40","IL20RA","X8614",0.783524633598984,0.167645824292949,4.67369012561763,2.95835583620041e-06,0.000416599736150619,2.95835583620042e-06,7.20504968954078e-07,2.18917472213516,1.57608646865157,3.04075065636203
"41","BASP1","X1427",-0.738297609704118,0.14932221088136,-4.94432546468733,7.64079607532643e-07,2.38282730457158e-06,7.64079607532643e-07,7.51228282110456e-07,0.477926841383067,0.356663055460206,0.640419752529933
"42","CCDC125","X3013",1.43890846993659,0.297591274861678,4.83518366123271,1.33022759838157e-06,1.75370506695322e-06,1.33022759838158e-06,1.79109500648216e-06,4.21609131405767,2.35288042204702,7.55475110503397
"43","FRMD3","X6801",-0.64139949316122,0.13855941586822,-4.62905742740165,3.67333898135405e-06,1.4477706753464e-06,3.67333898135405e-06,2.76329233553201e-06,0.526554998033325,0.401330116177818,0.690853127580959
"44","ZNF229","X22626",0.691975855078501,0.150538771837317,4.59666202024221,4.29313162234717e-06,4.55405265401223e-06,4.29313162234715e-06,3.56399685032042e-06,1.99765872050496,1.4872448049178,2.68324377426896
"45","BCRP3","X1498",-0.838520128849869,0.184076014897939,-4.5552927105402,5.23126808456371e-06,6.13398401741317e-06,5.23126808456371e-06,5.55931873272675e-06,0.432349872338231,0.301404371634431,0.6201848071985
"46","PLXDC1","X15988",-0.520346839070235,0.115026606853488,-4.5237084993128,6.07654009421558e-06,6.57164842683882e-06,6.07654009421558e-06,6.34447749264041e-06,0.594314380771587,0.474357109315238,0.744606913769657
"47","LRRC4B","X11297",-0.524866530836075,0.114635667684553,-4.57856216514015,4.68183028468232e-06,7.06654292455148e-05,4.68183028468232e-06,6.35547459275145e-06,0.591634324035936,0.472579963785825,0.740681366542434
"48","INPP5F","X8714",-0.57635672935808,0.128560371800572,-4.48316010047131,7.35457081653346e-06,3.16164965179866e-05,7.35457081653346e-06,7.71452182056574e-06,0.561941948246898,0.436777910108456,0.722973268316406
"49","COL18A1","X4007",-0.41231872027915,0.0923624168866918,-4.46413957297126,8.03911497671508e-06,1.70756805136088e-05,8.03911497671506e-06,7.72211823396988e-06,0.662113213510714,0.552475753897197,0.793507958336683
"50","HEBP2","X7902",0.448180770255643,0.099413762865796,4.50823665995489,6.53686383150261e-06,1.0764590669758e-05,6.53686383150263e-06,8.96108724450834e-06,1.56546165898137,1.28831269710385,1.90223244034608
"51","GUSBP5","X7736",1.18962659911778,0.268340494591186,4.43327273779593,9.28133340269493e-06,4.81472416676057e-05,9.28133340269493e-06,9.4301317435391e-06,3.28585403748778,1.94194275894927,5.55981205208983
"52","ITGB5","X8863",-0.424636814364139,0.100638459420741,-4.21942880294752,2.44922051470021e-05,3.32789025254916e-05,2.44922051470021e-05,2.27329117623086e-05,0.654007268047548,0.536931598174087,0.796610793839587
"53","CHRDL1","X3684",0.356277676240415,0.0865232033725476,4.11771250200216,3.82651638268855e-05,9.50552133388066e-05,3.82651638268855e-05,2.99977611976445e-05,1.42800401600292,1.20526000301339,1.69191333373884
"54","WDR6","X22119",-0.952727214952023,0.232218074073829,-4.10272636508528,4.08310048843491e-05,7.35038581991016e-05,4.08310048843492e-05,4.14078157255094e-05,0.385687734478335,0.24466477352645,0.607995284253495
"55","PAPPA","X15256",-0.932613461315663,0.23096815067941,-4.03784443254324,5.39446061959713e-05,7.76344121384889e-06,5.39446061959713e-05,4.44733219858811e-05,0.393523905775976,0.250248033684286,0.618830294637011
"56","DENND1C","X4846",-0.529796799813046,0.137507346517962,-3.85286177959838,0.000116745299485393,2.9899228872922e-05,0.000116745299485393,0.000111510676091005,0.588724586470901,0.449640795769358,0.770830053626004
"57","TNFSF13B","X20980",-0.595494951391879,0.160640851250355,-3.70699574085184,0.000209732468701704,0.000125530826761569,0.000209732468701704,0.000201982889469122,0.551289636757039,0.402385282854585,0.75529666850549
"58","ITGA11","X8839",-0.371428516699077,0.1007348052862,-3.68719148901714,0.000226742733906173,0.000207476874522728,0.000226742733906173,0.000202225095817664,0.689748309552884,0.56616761386425,0.840303681950152
"59","CHST5","X3718",1.23988036876291,0.33821212214583,3.66598441503613,0.000246388931117989,0.00039685422131148,0.000246388931117989,0.000231708617648567,3.45520009017572,1.7806826289949,6.70439946386678
"60","SLC7A6","X18836",0.851003220855689,0.24096295122886,3.53167661881527,0.000412934000270404,0.000559551732903862,0.000412934000270404,0.000435079859100367,2.34199521220784,1.46042065610107,3.75572719482601
